Using device=cuda dtype=torch.bfloat16
MPS status: built=False available=False
Registered 2000 JSON stroke files for split [train] from sedrah_pipeline/calliar_dataset/json/train
Registered 250 JSON stroke files for split [validation] from sedrah_pipeline/calliar_dataset/json/validation
Loading tokenizer/processor from Qwen/Qwen2-VL-2B-Instruct
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading model from Qwen/Qwen2-VL-2B-Instruct
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 37617.08it/s]
Loading weights:   0%|          | 0/729 [00:00<?, ?it/s]Loading weights: 100%|██████████| 729/729 [00:00<00:00, 8211.21it/s]
trainable params: 4,358,144 || all params: 2,213,343,744 || trainable%: 0.1969
[transformers] `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
epoch=1/10 step=1970/2000 loss=0.7564 samples_per_sec=2.74
epoch=1/10 step=1980/2000 loss=0.6422 samples_per_sec=2.88
epoch=1/10 step=1990/2000 loss=0.7452 samples_per_sec=2.88
epoch=1/10 step=2000/2000 loss=0.7801 samples_per_sec=2.91
epoch=1 complete train_loss=0.7334 val_loss=0.7054 epoch_time=706.54s
epoch=2/10 step=1/2000 loss=0.7637 samples_per_sec=6.36
epoch=2/10 step=10/2000 loss=0.6733 samples_per_sec=4.15
epoch=2/10 step=20/2000 loss=0.6546 samples_per_sec=3.07
epoch=2/10 step=30/2000 loss=0.7386 samples_per_sec=3.91
epoch=2/10 step=40/2000 loss=0.6958 samples_per_sec=3.06
epoch=2/10 step=50/2000 loss=0.7220 samples_per_sec=2.90
epoch=2/10 step=60/2000 loss=0.7217 samples_per_sec=3.06
epoch=2/10 step=70/2000 loss=0.7494 samples_per_sec=3.83
epoch=2/10 step=80/2000 loss=0.6926 samples_per_sec=3.28
epoch=2/10 step=90/2000 loss=0.7429 samples_per_sec=3.45
epoch=2/10 step=100/2000 loss=0.7651 samples_per_sec=3.18
epoch=2/10 step=110/2000 loss=0.5770 samples_per_sec=3.12
epoch=2/10 step=120/2000 loss=0.7063 samples_per_sec=3.19
epoch=2/10 step=130/2000 loss=0.7213 samples_per_sec=3.10
epoch=2/10 step=140/2000 loss=0.7187 samples_per_sec=3.50
epoch=2/10 step=150/2000 loss=0.6923 samples_per_sec=3.74
epoch=2/10 step=160/2000 loss=0.7759 samples_per_sec=3.39
epoch=2/10 step=170/2000 loss=0.6767 samples_per_sec=3.16
epoch=2/10 step=180/2000 loss=0.6293 samples_per_sec=3.14
epoch=2/10 step=190/2000 loss=0.7332 samples_per_sec=3.13
epoch=2/10 step=200/2000 loss=0.6638 samples_per_sec=3.10
epoch=2/10 step=210/2000 loss=0.6486 samples_per_sec=3.25
epoch=2/10 step=220/2000 loss=0.7270 samples_per_sec=3.42
epoch=2/10 step=230/2000 loss=0.7246 samples_per_sec=3.12
epoch=2/10 step=240/2000 loss=0.6921 samples_per_sec=2.92
epoch=2/10 step=250/2000 loss=0.6832 samples_per_sec=2.88
epoch=2/10 step=260/2000 loss=0.7277 samples_per_sec=3.60
epoch=2/10 step=270/2000 loss=0.6086 samples_per_sec=3.49
epoch=2/10 step=280/2000 loss=0.6852 samples_per_sec=3.52
epoch=2/10 step=290/2000 loss=0.6733 samples_per_sec=3.35
epoch=2/10 step=300/2000 loss=0.7016 samples_per_sec=3.64
epoch=2/10 step=310/2000 loss=0.5287 samples_per_sec=3.28
epoch=2/10 step=320/2000 loss=0.6703 samples_per_sec=2.85
epoch=2/10 step=330/2000 loss=0.7349 samples_per_sec=3.12
epoch=2/10 step=340/2000 loss=0.7369 samples_per_sec=3.15
epoch=2/10 step=350/2000 loss=0.7484 samples_per_sec=3.62
epoch=2/10 step=360/2000 loss=0.8005 samples_per_sec=3.42
epoch=2/10 step=370/2000 loss=0.7408 samples_per_sec=3.47
epoch=2/10 step=380/2000 loss=0.7581 samples_per_sec=3.66
epoch=2/10 step=390/2000 loss=0.6630 samples_per_sec=3.44
epoch=2/10 step=400/2000 loss=0.6385 samples_per_sec=3.11
epoch=2/10 step=410/2000 loss=0.6921 samples_per_sec=3.28
epoch=2/10 step=420/2000 loss=0.7139 samples_per_sec=3.09
epoch=2/10 step=430/2000 loss=0.6979 samples_per_sec=3.06
epoch=2/10 step=440/2000 loss=0.6812 samples_per_sec=3.01
epoch=2/10 step=450/2000 loss=0.7800 samples_per_sec=3.17
epoch=2/10 step=460/2000 loss=0.7515 samples_per_sec=2.91
epoch=2/10 step=470/2000 loss=0.6627 samples_per_sec=3.12
epoch=2/10 step=480/2000 loss=0.6532 samples_per_sec=2.87
epoch=2/10 step=490/2000 loss=0.7662 samples_per_sec=3.45
epoch=2/10 step=500/2000 loss=0.6044 samples_per_sec=3.00
epoch=2/10 step=510/2000 loss=0.6548 samples_per_sec=3.11
epoch=2/10 step=520/2000 loss=0.6933 samples_per_sec=3.54
epoch=2/10 step=530/2000 loss=0.6944 samples_per_sec=3.01
epoch=2/10 step=540/2000 loss=0.7160 samples_per_sec=3.02
epoch=2/10 step=550/2000 loss=0.6112 samples_per_sec=3.12
epoch=2/10 step=560/2000 loss=0.5833 samples_per_sec=2.85
epoch=2/10 step=570/2000 loss=0.6834 samples_per_sec=3.47
epoch=2/10 step=580/2000 loss=0.6866 samples_per_sec=3.09
epoch=2/10 step=590/2000 loss=0.6880 samples_per_sec=2.91
epoch=2/10 step=600/2000 loss=0.6865 samples_per_sec=3.11
epoch=2/10 step=610/2000 loss=0.7349 samples_per_sec=3.12
epoch=2/10 step=620/2000 loss=0.6160 samples_per_sec=2.90
epoch=2/10 step=630/2000 loss=0.5768 samples_per_sec=3.39
epoch=2/10 step=640/2000 loss=0.6226 samples_per_sec=3.22
epoch=2/10 step=650/2000 loss=0.6864 samples_per_sec=3.56
epoch=2/10 step=660/2000 loss=0.6857 samples_per_sec=3.25
epoch=2/10 step=670/2000 loss=0.7179 samples_per_sec=3.66
epoch=2/10 step=680/2000 loss=0.7268 samples_per_sec=3.23
epoch=2/10 step=690/2000 loss=0.5458 samples_per_sec=3.25
epoch=2/10 step=700/2000 loss=0.7492 samples_per_sec=3.38
epoch=2/10 step=710/2000 loss=0.7729 samples_per_sec=3.86
epoch=2/10 step=720/2000 loss=0.6801 samples_per_sec=3.50
epoch=2/10 step=730/2000 loss=0.6757 samples_per_sec=3.07
epoch=2/10 step=740/2000 loss=0.7012 samples_per_sec=2.96
epoch=2/10 step=750/2000 loss=0.7323 samples_per_sec=2.96
epoch=2/10 step=760/2000 loss=0.7456 samples_per_sec=2.77
epoch=2/10 step=770/2000 loss=0.7002 samples_per_sec=2.67
epoch=2/10 step=780/2000 loss=0.7026 samples_per_sec=2.86
epoch=2/10 step=790/2000 loss=0.6448 samples_per_sec=3.03
epoch=2/10 step=800/2000 loss=0.6925 samples_per_sec=3.47
epoch=2/10 step=810/2000 loss=0.7194 samples_per_sec=3.43
epoch=2/10 step=820/2000 loss=0.7374 samples_per_sec=3.58
epoch=2/10 step=830/2000 loss=0.5901 samples_per_sec=2.79
epoch=2/10 step=840/2000 loss=0.7121 samples_per_sec=3.15
epoch=2/10 step=850/2000 loss=0.8236 samples_per_sec=2.95
epoch=2/10 step=860/2000 loss=0.7662 samples_per_sec=3.66
epoch=2/10 step=870/2000 loss=0.6717 samples_per_sec=3.04
epoch=2/10 step=880/2000 loss=0.5701 samples_per_sec=2.68
epoch=2/10 step=890/2000 loss=0.7045 samples_per_sec=3.16
epoch=2/10 step=900/2000 loss=0.6758 samples_per_sec=3.13
epoch=2/10 step=910/2000 loss=0.6824 samples_per_sec=3.31
epoch=2/10 step=920/2000 loss=0.7011 samples_per_sec=2.86
epoch=2/10 step=930/2000 loss=0.6665 samples_per_sec=2.91
epoch=2/10 step=940/2000 loss=0.6105 samples_per_sec=3.70
epoch=2/10 step=950/2000 loss=0.6301 samples_per_sec=2.85
epoch=2/10 step=960/2000 loss=0.7425 samples_per_sec=2.88
epoch=2/10 step=970/2000 loss=0.6286 samples_per_sec=3.38
epoch=2/10 step=980/2000 loss=0.6345 samples_per_sec=3.12
epoch=2/10 step=990/2000 loss=0.7561 samples_per_sec=2.92
epoch=2/10 step=1000/2000 loss=0.7424 samples_per_sec=3.29
epoch=2/10 step=1010/2000 loss=0.7289 samples_per_sec=2.90
epoch=2/10 step=1020/2000 loss=0.7360 samples_per_sec=3.05
epoch=2/10 step=1030/2000 loss=0.6756 samples_per_sec=3.43
epoch=2/10 step=1040/2000 loss=0.1961 samples_per_sec=3.55
epoch=2/10 step=1050/2000 loss=0.7208 samples_per_sec=2.95
epoch=2/10 step=1060/2000 loss=0.6909 samples_per_sec=2.96
epoch=2/10 step=1070/2000 loss=0.6481 samples_per_sec=3.24
epoch=2/10 step=1080/2000 loss=0.6794 samples_per_sec=2.92
epoch=2/10 step=1090/2000 loss=0.7331 samples_per_sec=3.22
epoch=2/10 step=1100/2000 loss=0.6624 samples_per_sec=3.69
epoch=2/10 step=1110/2000 loss=0.7245 samples_per_sec=4.18
epoch=2/10 step=1120/2000 loss=0.6955 samples_per_sec=3.61
epoch=2/10 step=1130/2000 loss=0.6732 samples_per_sec=3.00
epoch=2/10 step=1140/2000 loss=0.6282 samples_per_sec=3.21
epoch=2/10 step=1150/2000 loss=0.5765 samples_per_sec=3.08
epoch=2/10 step=1160/2000 loss=0.6947 samples_per_sec=2.83
epoch=2/10 step=1170/2000 loss=0.6711 samples_per_sec=3.00
epoch=2/10 step=1180/2000 loss=0.6467 samples_per_sec=2.74
epoch=2/10 step=1190/2000 loss=0.6758 samples_per_sec=2.96
epoch=2/10 step=1200/2000 loss=0.6697 samples_per_sec=3.32
epoch=2/10 step=1210/2000 loss=0.6160 samples_per_sec=3.16
epoch=2/10 step=1220/2000 loss=0.7509 samples_per_sec=3.27
epoch=2/10 step=1230/2000 loss=0.7416 samples_per_sec=3.35
epoch=2/10 step=1240/2000 loss=0.6341 samples_per_sec=3.85
epoch=2/10 step=1250/2000 loss=0.6886 samples_per_sec=3.14
epoch=2/10 step=1260/2000 loss=0.6930 samples_per_sec=3.31
epoch=2/10 step=1270/2000 loss=0.7517 samples_per_sec=3.05
epoch=2/10 step=1280/2000 loss=0.6658 samples_per_sec=3.50
